Dist.,Customer,Document Amount,Type,Bank Key,Validate On
MUL,12355456789,5,Digital Marketing ,HBL,8/20/2024
MUL,12355456790,5,Digital Marketing ,HBL,8/20/2024
MUL,12355456791,5,Digital Marketing ,HBL,8/20/2024
MUL,12355456792,5,Digital Marketing ,HBL,8/20/2024
SHW,12355456793,0.5,Digital Marketing ,HBL,8/20/2024
KNP,12355456794,0.01,Digital Marketing ,HBL,8/20/2024
SHW,12355456795,1,Digital Marketing ,HBL,8/20/2024
KNP,12355456796,5,Digital Marketing ,HBL,8/20/2024
LHR,12355456797,1,Digital Marketing ,ASK,8/20/2024
SKT,12355456798,18000,Digital Marketing ,ASK,8/20/2024
SKT,12355456799,12860,Digital Marketing ,ASK,8/19/2024
SKT,12355456800,5400,Digital Marketing ,ASK,8/15/2024
SKT,12355456801,1350,Digital Marketing ,ASK,8/15/2024
SKT,12355456802,20000,Digital Marketing ,ASK,8/15/2024
SKT,12355456803,20000,Digital Marketing ,ASK,8/15/2024
SKT,12355456804,20000,Digital Marketing ,ASK,8/15/2024
SKT,12355456805,4300,Digital Marketing ,ASK,8/15/2024
SKT,12355456806,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456807,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456808,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456809,3150,Digital Marketing ,ASK,8/13/2024
SKT,12355456810,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456811,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456812,8280,Digital Marketing ,ASK,8/13/2024
SKT,12355456813,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456814,3000,Digital Marketing ,ASK,8/13/2024
SKT,12355456815,20000,Digital Marketing ,ASK,8/13/2024
SKT,12355456816,12000,Digital Marketing ,ASK,8/8/2024
SKT,12355456817,20000,Digital Marketing ,ASK,8/7/2024
SKT,12355456818,15000,Digital Marketing ,ASK,8/7/2024
SKT,12355456819,15000,Digital Marketing ,ASK,8/2/2024
SKT,12355456820,20000,Digital Marketing ,ASK,8/2/2024
DIK,12355456821,62000,Phyical Collections,HBL,8/20/2024
TTS,12355456822,7000,Phyical Collections,ABL,8/20/2024
PSW,12355456823,8600,Phyical Collections,UBL,8/20/2024
MUL,12355456824,23500,Phyical Collections,UBL,8/20/2024
LHR,12355456825,15000,Phyical Collections,MBL,8/20/2024
FSL,12355456826,13000,Phyical Collections,BAL,8/20/2024
PKP,12355456827,15135,Phyical Collections,BOP,8/20/2024
PKP,12355456828,53441,Phyical Collections,UBL,8/20/2024
DIK,12355456829,25830,Phyical Collections,BOP,8/20/2024
DGR,12355456830,17345,Phyical Collections,MCB,8/20/2024
DIK,12355456831,58000,Phyical Collections,HBL,8/20/2024
OKR,12355456832,34500,Phyical Collections,MBL,8/20/2024
NWS,12355456833,5788,Phyical Collections,MBL,8/20/2024
NWS,12355456834,20500,Phyical Collections,HBL,8/20/2024
LHR,12355456835,441,Phyical Collections,HBL,8/20/2024
LHR,12355456836,440,Phyical Collections,HBL,8/20/2024
LHR,12355456837,440,Phyical Collections,HBL,8/20/2024
LHR,12355456838,528.5,Phyical Collections,HBL,8/20/2024
SHP,12355456839,1101,Phyical Collections,BAL,8/20/2024
SHP,12355456840,1101,Phyical Collections,BAL,8/20/2024
SHP,12355456841,1101,Phyical Collections,BAL,8/20/2024
SHP,12355456842,1101,Phyical Collections,BAL,8/20/2024
SHP,12355456843,1106,Phyical Collections,BAL,8/20/2024
SHP,12355456844,1101,Phyical Collections,BAL,8/20/2024
SHP,12355456845,441,Phyical Collections,BAL,8/20/2024
LHR,12355456846,1101,Phyical Collections,HBL,8/20/2024
LHR,12355456847,1101,Phyical Collections,HBL,8/20/2024
SHP,12355456848,90,Phyical Collections,BAL,8/20/2024
SHP,12355456849,713,Phyical Collections,BAL,8/20/2024
SHP,12355456850,713,Phyical Collections,BAL,8/20/2024
SHP,12355456851,713,Phyical Collections,BAL,8/20/2024
BDN,12355456852,12000,Phyical Collections,MCB,8/20/2024
CHW,12355456853,8600,Phyical Collections,MCB,8/20/2024
DGK,12355456854,4700,Phyical Collections,MBL,8/20/2024
DGK,12355456855,4286,Phyical Collections,MBL,8/20/2024
DIK,12355456856,12000,Phyical Collections,BAL,8/20/2024
HSP,12355456857,4500,Phyical Collections,HBL,8/20/2024
HSP,12355456858,28700,Phyical Collections,UBL,8/20/2024
HSP,12355456859,24600,Phyical Collections,MBL,8/20/2024
HSP,12355456860,5870,Phyical Collections,ABL,8/20/2024
JRW,12355456861,13690,Phyical Collections,UBL,8/20/2024
JRW,12355456862,9920,Phyical Collections,MBL,8/20/2024
JRW,12355456863,21785,Phyical Collections,UBL,8/20/2024
KAS,12355456864,31979.2,Phyical Collections,BAH,8/20/2024
KAS,12355456865,8913,Phyical Collections,BOP,8/20/2024
KAS,12355456866,1770,Phyical Collections,ABL,8/20/2024
KAS,12355456867,1355,Phyical Collections,HBL,8/20/2024
KAS,12355456868,11700,Phyical Collections,HBL,8/20/2024
KAS,12355456869,4160,Phyical Collections,ABL,8/20/2024
KNP,12355456870,17100,Phyical Collections,UBL,8/20/2024
PSW,12355456871,43050,Phyical Collections,MCB,8/19/2024
LHR,12355456872,11430,Phyical Collections,ABL,8/20/2024
LHR,12355456873,32000,Phyical Collections,MCB,8/20/2024
LHR,12355456874,48200,Phyical Collections,UBL,8/20/2024
LYH,12355456875,11754,Phyical Collections,ABL,8/20/2024
LYH,12355456876,18148,Phyical Collections,UBL,8/20/2024
MCN,12355456877,4400,Phyical Collections,MCB,8/20/2024
MCN,12355456878,12858,Phyical Collections,HMB,8/20/2024
MRD,12355456879,25000,Phyical Collections,UBL,8/20/2024
MNG,12355456880,27506,Phyical Collections,UBL,8/20/2024
MNG,12355456881,4100,Phyical Collections,HBL,8/20/2024
MPK,12355456882,10000,Phyical Collections,UBL,8/20/2024
MPK,12355456883,15000,Phyical Collections,MCB,8/20/2024
MPK,12355456884,31000,Phyical Collections,MBL,8/20/2024
NSF,12355456885,18000,Phyical Collections,UBL,8/20/2024
NWS,12355456886,26016,Phyical Collections,HMB,8/20/2024
SKT,12355456887,52000,Phyical Collections,ABL,8/20/2024
SHW,12355456888,24700,Phyical Collections,UBL,8/20/2024
SHW,12355456889,1000,Phyical Collections,UBL,8/20/2024
SHW,12355456890,11770,Phyical Collections,MCB,8/20/2024
SHW,12355456891,15240,Phyical Collections,HMB,8/20/2024
SHW,12355456892,34700,Phyical Collections,ABL,8/20/2024
VHR,12355456893,87291,Phyical Collections,HBL,8/20/2024
VHR,12355456894,21680,Phyical Collections,BAH,8/20/2024
RJN,12355456895,20488,Phyical Collections,MCB,8/20/2024
ABT,12355456896,17150,Phyical Collections,ABL,8/20/2024
BWN,12355456897,53757,Phyical Collections,BAL,8/20/2024
BWN,12355456898,34280,Phyical Collections,HBL,8/20/2024
BWN,12355456899,8570,Phyical Collections,BAL,8/20/2024
BWN,12355456900,23516,Phyical Collections,HBL,8/20/2024
BWN,12355456901,82780,Phyical Collections,BAL,8/20/2024
HAF,12355456902,6060,Phyical Collections,MBL,8/20/2024
FSL,12355456903,25710,Phyical Collections,HBL,8/20/2024
FSL,12355456904,9000,Phyical Collections,HBL,8/20/2024
FSL,12355456905,13000,Phyical Collections,MCB,8/20/2024
LDR,12355456906,8570,Phyical Collections,MCB,8/20/2024
LDR,12355456907,23476,Phyical Collections,HBL,8/20/2024
LDR,12355456908,4350,Phyical Collections,MCB,8/20/2024
LDR,12355456909,19920,Phyical Collections,HBL,8/20/2024
LDR,12355456910,16750,Phyical Collections,BAH,8/20/2024
HSP,12355456911,56000,Phyical Collections,UBL,8/20/2024
HSP,12355456912,45000,Phyical Collections,MBL,8/20/2024
OKR,12355456913,16000,Phyical Collections,ABL,8/20/2024
OKR,12355456914,18148,Phyical Collections,ABL,8/20/2024
PKP,12355456915,100000,Phyical Collections,MBL,8/20/2024
PKP,12355456916,100000,Phyical Collections,HBL,8/20/2024
PKP,12355456917,20000,Phyical Collections,BAL,8/20/2024
MUL,12355456918,35100,Phyical Collections,MCB,8/20/2024
RYK,12355456919,17890,Phyical Collections,HBL,8/20/2024
RYK,12355456920,7700,Phyical Collections,UBL,8/20/2024
LHR,12355456921,28000,Phyical Collections,ABL,8/20/2024
SDP,12355456922,4000,Phyical Collections,ABL,8/20/2024
SDP,12355456923,5000,Phyical Collections,ABL,8/20/2024
SHJ,12355456924,42850,Phyical Collections,BAL,8/20/2024
SHJ,12355456925,12858,Phyical Collections,UBL,8/20/2024
VHR,12355456926,26016,Phyical Collections,UBL,8/20/2024
BHK,12355456927,125,Phyical Collections,HBL,8/20/2024
BHK,12355456928,42860,Phyical Collections,MBL,8/20/2024
